"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,1068,0,3.529,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",6443,0,3.529,0,1,2449,0,3.529
2,959,0,2.941,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",18820,0,3.529,0,0,1133,0,3.529
3,30130,0,21.765,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",300096,0,23.529,0,0,48089,0,22.941
4,71578,0,36.471,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",520394,0,38.824,0,0,84493,0,38.824
5,59799,0,44.706,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",485952,0,44.706,0,0,85933,0,44.706
6,58441,0,44.118,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",493748,0,44.118,0,0,84445,0,44.118
7,64488,0,44.118,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",460505,0,44.118,0,0,89505,0,44.118
8,61903,0,43.529,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",454144,0,43.529,0,0,81187,0,43.529
9,67427,46,50.588,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",546410,744,51.176,0,0,100664,16,51.176
10,2449,0,4.706,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",20263,0,4.706,0,0,2599,0,4.706
11,625,0,1.176,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",1647,0,1.176,0,0,144,0,1.176
12,2654,0,5.294,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",38418,0,5.294,0,0,6005,0,5.294
13,52382,0,38.235,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",399316,0,38.235,0,0,87622,0,37.647
14,72173,335,57.647,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",582981,1326,58.235,0,1,110537,75,58.235
15,77629,281,58.824,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",605465,2066,58.824,0,0,118877,128,58.824
16,156376,643,71.765,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",1661583,3607,72.941,0,0,137647,104,72.941
17,66247,236,58.824,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",604781,1104,59.412,0,0,125429,208,59.412
18,68218,282,66.471,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",608275,1628,68.824,0,0,120914,120,68.235
19,54717,201,55.882,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",578246,979,57.647,0,0,99379,52,57.059
20,66239,347,75.294,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",638146,2237,75.882,0,0,109747,202,75.294
21,76476,382,74.118,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",621295,1787,75.294,0,0,120846,241,75.294
22,175410,706,83.529,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",1850429,5982,83.529,0,0,158540,423,83.529
23,73568,175,54.706,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",610395,1870,56.471,0,0,118046,58,55.882
24,105642,444,75.294,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",1232070,3303,75.882,0,0,130962,293,75.294
25,72463,360,74.118,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",630115,2613,74.118,0,0,126621,311,74.118
26,81160,403,82.353,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",2131554,6501,84.706,0,0,689356,1317,84.706
27,85266,298,58.824,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",674738,1371,58.824,0,0,131845,222,58.824
28,59270,66,50,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",503479,861,50,0,0,101056,20,50
29,73418,253,56.471,"FAM","HEX","Cy5","UW",1,"3","2017_02_01",25,0.02,0,"OCI Cells","0.5x EvaGreen",574603,1007,57.059,0,0,117656,100,57.059
