"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,1449,0,5.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",24327,0,7.059,0,1,17118,0,7.059
2,798,0,1.765,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",10850,0,3.529,0,0,2719,0,3.529
3,15219,0,12.353,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",199629,0,12.353,0,0,16576,0,12.353
4,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",0,0,0,0,0,0,0,0
5,20847,0,13.529,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",310373,0,14.118,0,0,21013,0,14.118
6,42738,0,27.647,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",445197,0,28.824,0,0,56015,0,28.824
7,28136,0,21.765,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",245695,0,21.765,0,0,35245,0,21.765
8,41322,0,25.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",346417,0,26.471,0,0,48857,0,26.471
9,23319,0,15.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",196026,0,17.059,0,0,25914,0,17.059
10,143,0,0.588,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",811,0,0.588,0,1,94,0,0.588
11,60819,0,36.471,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",573680,0,39.412,0,0,73864,0,38.824
12,1266,0,2.941,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",10455,0,4.118,0,0,1723,0,4.118
13,13538,0,18.235,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",122276,0,18.235,0,0,16939,0,17.059
14,5772,0,9.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",31381,0,9.412,0,0,3489,0,9.412
15,8642,0,9.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",48915,0,9.412,0,0,7912,0,9.412
16,2726,0,6.471,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",12448,0,6.471,0,0,1172,0,6.471
17,2871,0,5.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",13745,0,5.294,0,0,1810,0,5.294
18,38755,0,19.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",164096,0,20.588,0,1,26539,0,20.588
19,2209,0,4.118,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",6595,0,4.706,0,0,1179,0,4.706
20,50950,0,32.353,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",450433,0,32.353,0,1,66294,0,32.353
21,10922,0,10.588,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",156439,0,11.176,0,0,15628,0,11.176
22,8684,0,10,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",57562,0,10,0,0,8300,0,8.235
23,10331,0,9.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",76840,0,10.588,0,0,8785,0,10.588
24,9616,0,10,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",84254,0,10,0,0,7411,0,10
25,11626,0,11.176,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",77052,0,11.176,0,0,6730,0,11.176
26,10122,0,9.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",66792,0,10,0,0,7752,0,10
27,7784,0,10.588,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",63153,0,10.588,0,0,9248,0,10.588
28,10000,0,11.176,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",73770,0,11.176,0,0,9420,0,11.176
29,7664,0,9.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",79799,0,9.412,0,0,9984,0,9.412
30,2015,0,4.706,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",38619,0,7.059,0,0,4411,0,7.059
31,9145,0,10,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",68059,0,10,0,0,11084,0,10
32,11533,0,12.353,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",97614,0,12.353,0,0,13867,0,11.765
33,14379,0,13.529,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",183379,0,14.706,0,0,23709,0,14.706
34,67512,0,48.235,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",624689,516,50.588,0,0,126584,13,50.588
35,37575,0,35.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",326798,0,38.235,0,0,68795,0,38.235
36,70593,181,57.059,"FAM","HEX","Cy5","UW",1,"3","2017_01_24",25,0.01,0,"OCI Cells","Vybrant 5uM",726430,1053,61.765,0,0,139124,197,61.765
