"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,7863,0,8.235,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",67863,0,9.412,0,"N/A",9947,0,9.412
2,9822,0,11.176,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",83068,0,11.176,0,"N/A",7486,0,10.588
3,70865,146,59.412,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",626788,762,63.529,0,"N/A",78120,44,63.529
4,61100,103,55.882,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",647686,743,61.176,0,"N/A",87911,40,60.588
5,53893,0,40,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",508655,0,41.176,0,"N/A",76356,0,41.176
6,341,0,0.588,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",502,0,0.588,0,"N/A",64,0,0.588
7,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
8,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
9,6955,0,20,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",31392,0,21.176,0,"N/A",6258,0,21.176
10,5976,0,14.118,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",19673,0,14.118,0,"N/A",4219,0,14.118
11,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
12,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
13,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
14,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
15,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
16,2622,0,5.294,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",23407,0,5.882,0,"N/A",3466,0,5.882
17,439,0,1.176,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",1137,0,1.176,0,"N/A",91,0,1.176
18,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
19,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
20,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_02_01",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
