"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,7809,0,8.824,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",42929,0,8.824,0,"0",8090,0,8.824
2,85505,0,28.824,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",397382,0,29.412,0,"2",66574,0,29.412
3,137360,0,48.235,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",811634,0,48.235,0,"1",104352,0,48.235
4,79341,337,62.353,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",742681,2111,63.529,0,"0",136461,521,63.529
5,62586,192,55.294,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",714017,2131,56.471,0,"0",119875,165,56.471
6,81810,380,70.588,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",779028,3627,71.176,0,"0",140182,667,71.176
7,70609,263,56.471,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",667517,1501,58.235,0,"0",123173,228,58.235
8,58973,0,48.824,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",577288,0,49.412,0,"0",111707,0,49.412
9,79137,269,56.471,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",719446,2515,57.647,0,"0",139272,236,57.647
10,64360,139,52.941,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",568382,1131,52.941,0,"0",119780,49,52.941
11,61598,0,46.471,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",535414,0,46.471,0,"0",111565,0,46.471
12,62714,0,47.059,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",537832,0,47.059,0,"0",107132,0,46.471
13,81228,401,64.118,"FAM","HEX","Cy5","UW",1,"3","2016_12_06",25,0,0,"OCI Cells","Vybrant 5uM",740572,2144,64.118,0,"0",141037,243,63.529
