"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,5329,0,5.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",43832,0,5.294,0,1,6182,0,4.706
2,5211,0,5.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",53764,0,5.294,0,0,7809,0,5.294
3,13299,0,8.235,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",264623,0,10.588,0,0,24029,0,10.588
4,6029,0,7.059,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",97466,0,7.647,0,0,16658,0,7.647
5,33299,0,15.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",252057,0,15.294,0,0,38851,0,15.294
6,41293,0,25.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",371598,0,25.882,0,0,51850,0,25.882
7,41985,0,23.529,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",335619,0,25.294,0,0,52518,0,25.294
8,5665,0,6.471,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",121255,0,7.059,0,0,17228,0,7.059
9,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
10,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
11,1978,0,2.353,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",16157,0,2.353,0,0,2346,0,2.353
12,47330,0,28.235,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",390522,0,30,0,0,62848,0,30
13,62072,0,38.235,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",499756,0,39.412,0,0,69347,0,39.412
14,64900,0,43.529,"FAM","HEX","Cy5","UW",1,"3","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",561396,0,43.529,0,0,75063,0,43.529
