"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,16302,0,2.899,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",64138,0,2.899,0,"N/A",10939,0,2.899
2,179447,0,14.182,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",1365030,0,14.182,0,"N/A",115515,0,14.182
3,171002,0,14.079,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",1180971,0,14.079,0,"N/A",103339,0,14.079
4,101177,0,10.87,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",697795,0,12.319,0,"N/A",81662,0,12.319
5,101941,0,12.008,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",785956,0,12.112,0,"N/A",125368,0,12.112
6,679236,316,58.385,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",6383624,1702,59.006,0,"N/A",1348545,128,57.971
7,1640958,1217,77.536,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",21252481,12595,78.675,0,"N/A",6408760,2514,78.675
8,766445,688,70.6,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",7601283,4152,70.6,0,"N/A",1598023,904,69.048
9,970713,480,60.559,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",10017513,2744,62.422,0,"N/A",2132848,283,62.008
10,512094,220,55.176,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",5303696,1473,55.487,0,"N/A",997336,122,55.28
11,483662,190,53.106,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",5026934,1156,53.416,0,"N/A",978526,57,52.692
12,1040978,439,63.975,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",14057407,2095,64.7,0,"N/A",4500442,499,64.7
13,1040264,514,66.253,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",14126268,2497,67.598,0,"N/A",5007777,587,67.598
14,1332838,872,73.188,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",18468000,7942,74.12,0,"N/A",5302600,1331,73.81
15,940471,629,74.327,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",14826056,7446,74.741,0,"N/A",4777902,1740,74.741
16,637313,368,61.594,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",6519502,3154,61.801,0,"N/A",1255041,365,61.801
17,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",0,0,0,0,"N/A",0,0,0
18,311010,0,31.573,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",2491092,0,32.712,0,"N/A",497620,0,32.712
19,658790,226,57.453,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",10614459,1556,57.867,0,"N/A",3577242,208,57.66
20,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",0,0,0,0,"N/A",0,0,0
21,453375,0,37.785,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",3997668,0,37.785,0,"N/A",736767,0,37.785
22,50438,0,7.971,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",404713,0,8.075,0,"N/A",61100,0,7.867
23,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",0,0,0,0,"N/A",0,0,0
24,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",0,0,0,0,"N/A",0,0,0
25,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",0,0,0,0,"N/A",0,0,0
26,7173,0,2.484,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",34173,0,2.692,0,"N/A",7615,0,2.692
27,1249,0,0.207,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",1831,0,0.207,0,"N/A",584,0,0.207
28,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2016_12_02",10,0,0,"HET Plasmid","N/A",0,0,0,0,"N/A",0,0,0
