"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,1107,0,4.118,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",14129,0,4.118,0,"N/A",2318,0,4.118
2,2430,0,2.353,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",19053,0,2.353,0,"N/A",323,0,2.353
3,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
4,28235,0,15.882,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",514949,0,16.471,0,"N/A",56831,0,16.471
5,48321,0,21.765,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",614935,0,21.765,0,"N/A",67129,0,21.765
6,42888,0,25.882,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",549423,0,26.471,0,"N/A",54200,0,26.471
7,42584,0,23.529,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",530368,0,24.706,0,"N/A",67507,0,24.706
8,42124,0,25.882,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",927027,0,26.471,0,"N/A",197375,0,26.471
9,30088,0,21.176,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",484609,0,21.176,0,"N/A",62549,0,20.588
10,30954,0,22.353,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",453682,0,22.353,0,"N/A",54843,0,21.765
11,32278,0,21.176,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",434520,0,21.176,0,"N/A",56448,0,21.176
12,31149,0,21.176,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",440370,0,22.353,0,"N/A",52907,0,22.353
13,30666,0,21.765,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",414029,0,21.765,0,"N/A",54650,0,21.765
14,33839,0,21.765,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",502004,0,24.118,0,"N/A",86531,0,24.118
15,35706,0,24.706,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",410984,0,25.294,0,"N/A",58518,0,25.294
16,34189,0,21.176,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",414880,0,22.941,0,"N/A",57959,0,22.941
17,42092,0,35.294,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",532194,0,35.294,0,"N/A",81830,0,34.706
18,40195,0,26.471,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",490756,0,29.412,0,"N/A",66415,0,29.412
19,43611,0,28.235,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",545949,0,28.824,0,"N/A",85487,0,28.824
20,40215,0,27.059,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",436475,0,27.059,0,"N/A",64268,0,27.059
21,104798,0,30.588,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",1273587,0,32.353,0,"N/A",359003,0,32.353
22,68404,41,51.765,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",1228405,1712,54.118,0,"N/A",355802,245,54.118
23,43557,0,37.059,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",997798,0,37.059,0,"N/A",277798,0,37.059
24,36485,0,25.294,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",685721,0,27.647,0,"N/A",197568,0,27.647
25,11952,0,10.588,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",238767,0,11.176,0,"N/A",28322,0,11.176
26,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
27,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
28,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
29,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
30,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
31,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
32,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
33,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
34,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
35,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
36,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
37,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
38,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
39,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
40,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
41,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
42,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
43,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
44,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
45,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
46,168,0,1.176,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",3044,0,1.176,0,"N/A",201,0,1.176
47,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
48,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
49,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
50,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
51,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
52,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_02_16",25,0.02,0,"HET Plasmid","0.5x EvaGreen",0,0,0,0,"N/A",0,0,0
