"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,23218,0,5.59,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",206961,0,5.694,0,"N/A",32849,0,5.694
2,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
3,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
4,15660,0,3.106,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",112176,0,3.106,0,"N/A",21147,0,3.106
5,489883,0,42.65,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",5133327,0,43.064,0,"N/A",829574,0,43.064
6,479036,0,46.894,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",5346106,0,47.516,0,"N/A",874871,0,47.101
7,1101095,399,56.211,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",9853972,4046,57.35,0,"N/A",1049397,182,57.246
8,528058,217,52.588,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",5662396,2344,52.899,0,"N/A",1010235,141,52.899
9,506704,0,49.172,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",5275649,0,49.586,0,"N/A",857128,0,49.586
10,457744,0,44.617,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4607309,0,45.445,0,"N/A",800275,0,44.513
11,485680,0,46.377,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",7116674,0,46.377,0,"N/A",1854009,0,45.963
12,65703,0,8.282,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",546996,0,8.282,0,"N/A",97705,0,8.282
13,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
14,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
15,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
16,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
17,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
18,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
19,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
20,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
21,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
22,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
23,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
24,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
25,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
26,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
27,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
28,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
29,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
30,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
31,8514,0,1.967,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",63406,0,1.967,0,"N/A",199000,0,1.967
32,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
33,11728,0,2.899,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",155566,0,2.899,0,"N/A",146009,0,2.899
34,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
35,2709,0,0.518,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",11753,0,0.518,0,"N/A",906,0,0.518
36,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
37,3092,0,1.553,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",43738,0,1.553,0,"N/A",6209,0,1.553
38,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
39,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
40,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
41,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
42,6008,0,1.553,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",58901,0,1.553,0,"N/A",2135,0,1.553
43,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
44,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
45,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
46,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
47,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
48,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
49,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
50,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
51,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
52,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
53,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
54,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
55,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
56,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
57,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
58,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
59,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
60,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
61,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
62,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
63,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
64,0,0,0,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",0,0,0,0,"N/A",0,0,0
65,673840,0,38.509,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",5166976,0,38.613,0,"N/A",946384,0,38.613
66,433855,0,40.269,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4400915,0,40.269,0,"N/A",733955,0,40.166
67,387728,0,45.549,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4707526,0,45.549,0,"N/A",810333,0,45.031
68,482292,0,49.172,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4993608,1721,50,0,"N/A",876499,0,49.896
69,453532,210,52.588,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",5367963,2609,53.623,0,"N/A",943261,164,52.692
70,833765,756,72.981,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",11135857,12344,73.085,0,"N/A",3465885,1994,71.636
71,646045,744,71.946,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",7232347,8671,72.567,0,"N/A",1248799,1036,71.843
72,3685749,4787,84.472,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",21352554,22536,84.886,0,"N/A",1614350,1781,83.851
73,646309,704,68.841,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",7131078,7644,68.944,0,"N/A",1062776,360,68.323
74,2705271,2618,81.781,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",17488077,17778,81.781,0,"N/A",1455867,1305,81.159
75,636349,687,71.325,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",6997886,7309,71.739,0,"N/A",1159109,741,71.429
76,587750,578,68.944,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",6911361,6833,68.944,0,"N/A",982811,684,68.427
77,608698,534,63.872,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",6675631,5054,63.872,0,"N/A",1128356,492,63.872
78,403110,0,47.308,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4594484,0,47.619,0,"N/A",913088,0,46.998
79,479274,32,50.414,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",5409610,2019,51.139,0,"N/A",1061753,108,51.035
80,519877,0,48.758,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",5133144,0,48.758,0,"N/A",982296,0,48.551
81,477443,0,47.205,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4696989,0,48.447,0,"N/A",891357,0,48.137
82,604078,501,57.039,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",6095358,3376,57.35,0,"N/A",1094684,177,56.832
83,549169,517,61.387,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",6030271,4700,62.215,0,"N/A",811695,484,61.905
84,469202,0,47.619,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4923086,0,48.137,0,"N/A",883963,0,47.93
85,429079,0,46.584,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4820968,0,47.205,0,"N/A",914088,0,46.48
86,432357,0,45.756,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4791715,0,45.756,0,"N/A",831909,0,45.549
87,458402,0,46.273,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4822928,0,46.273,0,"N/A",846702,0,45.963
88,453868,0,44.617,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4607416,0,44.617,0,"N/A",784320,0,43.996
89,348669,0,40.58,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4360469,0,41.201,0,"N/A",707162,0,40.787
90,391555,0,43.064,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",4621505,0,43.168,0,"N/A",665595,0,42.443
91,351795,0,35.197,"FAM","HEX","Cy5","UW",1,"Unknown","2016_11_22",10,0.05,0,"OCI Cells","2 uM Draq5",3713930,0,35.611,0,"N/A",616232,0,35.611
