"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,982,0,1.765,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",2314,0,1.765,0,1,344,0,1.765
2,3675,0,5.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",48198,0,5.882,0,0,2194,0,5.882
3,42790,0,24.118,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",400963,0,25.882,0,0,44263,0,25.294
4,46759,0,32.941,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",471879,0,32.941,0,0,51310,0,32.941
5,40109,0,36.471,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",500432,0,36.471,0,0,43916,0,36.471
6,47775,0,38.824,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",511735,0,38.824,0,0,59518,0,38.824
7,50915,0,44.118,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",504410,0,44.118,0,2,52984,0,44.118
8,42322,0,35.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",474748,0,35.882,0,0,45902,0,35.882
9,24160,0,22.353,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",235872,0,22.353,0,0,26395,0,21.765
10,42656,0,32.353,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",483243,0,37.059,0,0,57499,0,35.882
11,45277,0,35.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_20",25,0,0.05,"OCI Cells","Vybrant 5uM",462038,0,35.882,0,0,57482,0,35.882
