"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
300,367414,316,59.731,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4868634,2115,60.455,0,"N/A",709980,495,60.455
301,394820,401,60.145,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4940756,3042,60.248,0,"N/A",698655,338,60.145
302,329236,258,56.625,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4397907,1197,57.143,0,"N/A",634127,198,57.143
303,303301,264,60.663,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5196408,3690,61.387,0,"N/A",712041,486,61.387
304,323163,159,56.004,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4533817,1428,56.729,0,"N/A",624710,128,56.729
305,375980,314,60.766,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5024599,2266,61.077,0,"N/A",711359,445,61.077
306,369695,295,52.899,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4446802,1145,53.002,0,"N/A",615918,143,53.002
307,381278,294,59.524,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4816201,2065,60.041,0,"N/A",747944,529,60.041
308,372974,298,56.625,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4820708,1736,56.729,0,"N/A",680258,211,56.729
309,371384,332,60.559,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5044217,2435,61.387,0,"N/A",737516,466,61.387
310,379937,309,58.799,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4562707,1742,59.213,0,"N/A",718678,394,59.213
311,308996,5,50,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4114190,632,51.656,0,"N/A",636540,44,51.553
312,325181,0,49.586,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4145197,609,50.828,0,"N/A",645840,38,50.828
313,319885,198,53.83,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4464758,1075,54.969,0,"N/A",682661,198,54.555
314,312355,0,49.896,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4096369,653,50.518,0,"N/A",612749,17,50.414
315,298634,0,49.172,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4135152,668,50.414,0,"N/A",666896,33,50.414
316,273507,0,46.377,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",3619186,0,46.377,0,"N/A",545148,0,46.377
317,272772,0,47.101,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",3737414,0,47.308,0,"N/A",567789,0,47.308
318,299009,237,57.35,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4421785,2472,58.282,0,"N/A",554139,219,58.282
319,108229,0,18.841,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",996157,0,18.841,0,"N/A",128658,0,18.841
320,244398,0,17.495,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",1910524,0,17.495,0,"N/A",308284,0,17.391
321,331987,0,46.273,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",3389631,0,46.48,0,"N/A",503508,0,46.48
322,356541,311,65.424,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4796481,2152,65.424,0,"N/A",603000,377,65.217
323,356154,363,57.971,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4598523,2172,58.178,0,"N/A",513381,228,58.178
324,391379,440,65.424,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5468039,4103,66.046,0,"N/A",688312,684,66.046
325,388079,439,64.286,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5050058,3463,64.7,0,"N/A",544081,340,64.7
326,354392,361,63.043,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5238718,4037,64.389,0,"N/A",577284,496,64.389
327,390514,443,69.669,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",6048820,8649,71.325,0,"N/A",675721,905,71.222
328,342062,380,67.702,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5555523,5586,68.841,0,"N/A",631600,734,68.841
329,463146,540,70.393,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",6016944,7498,70.393,0,"N/A",678015,842,70.393
330,425917,495,66.874,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5535827,4912,67.598,0,"N/A",621729,660,67.598
331,386738,422,65.321,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5250352,4393,65.424,0,"N/A",617203,656,65.424
332,376389,417,66.046,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5650615,6239,67.184,0,"N/A",636799,677,67.081
333,384684,481,61.698,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5149595,3549,62.526,0,"N/A",560643,342,62.526
334,318872,257,59.834,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4576622,1561,59.938,0,"N/A",519199,174,59.938
335,346975,370,64.907,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4975809,4219,65.424,0,"N/A",533555,405,65.424
336,291911,280,56.832,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4476798,1491,57.66,0,"N/A",512362,257,57.66
337,355951,374,65.321,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5024525,4222,65.528,0,"N/A",577102,493,65.528
338,363097,392,64.079,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4997498,3211,64.7,0,"N/A",565277,395,64.493
339,319292,263,56.108,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4534539,1496,56.625,0,"N/A",519585,247,56.211
340,346728,345,67.288,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5531576,6189,68.012,0,"N/A",648955,682,67.909
341,350547,392,63.354,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5398951,4320,64.079,0,"N/A",646740,731,63.768
342,396333,432,65.114,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5389028,4435,65.114,0,"N/A",652063,621,65.114
343,361815,353,67.184,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5504114,5429,68.116,0,"N/A",631436,594,67.805
344,380467,398,63.354,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5144924,3430,63.354,0,"N/A",612431,640,63.354
345,421100,464,68.634,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5802441,6123,68.841,0,"N/A",654656,712,68.841
346,369230,392,63.561,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",5182645,4473,64.286,0,"N/A",621841,638,64.182
347,300813,130,51.553,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4094843,695,52.07,0,"N/A",489128,52,51.967
348,372261,345,61.594,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4996177,3406,62.629,0,"N/A",566850,267,62.319
349,372438,324,57.557,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4519742,1631,57.66,0,"N/A",571373,264,57.66
350,317912,284,58.075,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4793742,2506,59.006,0,"N/A",547753,248,59.006
351,351967,359,57.66,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4537139,1876,57.66,0,"N/A",537716,242,57.66
352,302835,173,54.658,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4266355,1281,55.487,0,"N/A",513410,142,55.487
353,307814,198,56.418,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4485059,1429,56.936,0,"N/A",508173,120,56.832
354,303717,177,56.004,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4356687,1274,56.418,0,"N/A",538869,156,56.315
355,322410,214,56.936,"FAM","HEX","Cy5","UW",3,"Unknown","2016_11_21",10,0.05,0,"MUT Plasmid","N/A",4519872,1363,57.764,0,"N/A",575441,191,57.66
