"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,2534,0,2.941,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",13935,0,2.941,0,"0",3947,0,2.941
2,238,0,0.588,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",2999,0,1.765,0,"0",954,0,1.765
3,12205,0,10,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",97861,0,10,0,"0",16972,0,10
4,42593,0,25.294,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",365160,0,25.882,0,"0",59785,0,25.882
5,30063,0,19.412,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",205449,0,19.412,0,"0",36578,0,19.412
6,67736,0,45.882,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",644521,0,47.059,0,"0",107936,0,47.059
7,48517,0,33.529,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",477093,0,35.294,0,"0",74300,0,34.706
8,66982,0,40,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",542679,0,40,0,"0",88224,0,40
9,70325,0,45.294,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",569058,0,45.882,0,"0",92418,0,45.882
10,57394,0,37.647,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",495188,0,37.647,0,"0",82361,0,37.647
11,93087,0,40.588,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",770479,0,40.588,0,"0",80233,0,40.588
12,104973,0,45.294,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",864830,0,45.294,0,"0",108007,0,45.294
13,37144,0,20,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",258074,0,20,0,"0",43926,0,20
14,66701,0,44.118,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",540636,0,44.118,0,"0",94074,0,44.118
15,54428,0,35.882,"FAM","HEX","Cy5","UW",1,"2","2016_12_06",25,0.05,0,"OCI Cells","Vybrant 5uM",452561,0,35.882,0,"0",76675,0,35.882
