"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,29808,0,17.059,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",426022,0,17.059,0,1,77071,0,17.059
2,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
3,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
4,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
5,16094,0,14.706,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",166254,0,14.706,0,0,33581,0,14.706
6,66263,0,40.588,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",391767,0,41.765,0,0,66208,0,41.765
7,77735,0,49.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",508245,0,49.412,0,0,71626,0,49.412
8,95948,346,56.471,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",577249,955,56.471,0,0,88841,47,55.882
9,84636,129,51.765,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",517005,725,51.765,0,0,79464,7,51.176
10,62780,0,34.118,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",361789,0,35.294,0,0,66479,0,35.294
11,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
12,4782,0,8.235,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",15788,0,8.235,0,0,1266,0,8.235
13,83015,226,60.588,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",594819,1126,60.588,0,0,80854,51,60.588
14,84557,244,55.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",489948,830,55.882,0,0,79829,59,55.882
15,72673,0,48.235,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",437087,672,50.588,0,0,73794,11,50.588
16,81359,0,49.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",489967,676,50,0,0,73534,0,49.412
17,82864,212,54.118,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",985226,949,55.882,0,0,305046,129,55.882
18,73100,0,45.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",441272,0,45.882,0,0,73787,0,45.882
19,71694,0,47.059,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",446912,0,47.647,0,0,76709,0,47.647
20,73952,0,45.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",450863,0,45.882,0,0,75826,0,45.882
21,80870,144,52.941,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",544415,725,54.118,0,0,82169,30,54.118
22,81010,185,63.529,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",634763,1113,64.118,0,0,110239,74,63.529
23,90341,86,53.529,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",597708,839,55.882,0,0,99369,44,55.882
24,76128,0,44.706,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",485530,0,45.294,0,0,83445,0,45.294
25,68218,145,52.941,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",982034,834,53.529,0,0,307611,55,53.529
26,72977,0,45.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",695748,0,45.882,0,0,187049,0,45.882
27,16796,0,10.588,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",87874,0,12.353,0,1,21091,0,12.353
28,57502,0,27.059,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",363252,0,27.647,0,0,73282,0,27.647
29,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
30,9747,0,18.235,"FAM","HEX","Cy5","UW",1,"3","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",27893,0,18.235,0,0,47874,0,18.235
