"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,5912,0,5.882,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",16464,0,5.882,0,0,2329,0,5.882
2,11147,0,10,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",32493,0,10,0,0,9743,0,10
3,1909,0,1.765,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",3705,0,1.765,0,0,382,0,1.765
4,0,0,0,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
5,39302,0,15.882,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",282822,0,15.882,0,0,41929,0,15.882
6,65363,0,33.529,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",513566,0,34.706,0,0,73846,0,34.706
7,66573,0,35.294,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",454917,0,35.882,0,0,66621,0,35.294
8,65163,0,39.412,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",444092,0,39.412,0,0,68648,0,39.412
9,64368,0,39.412,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",463131,0,39.412,0,0,71144,0,39.412
10,70379,0,41.176,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",475520,0,41.176,0,0,76756,0,41.176
11,74257,0,45.882,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",546423,0,46.471,0,0,88551,0,46.471
12,86658,211,52.941,"FAM","HEX","Cy5","UW",1,"2","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",628383,778,54.118,0,0,91280,35,54.118
