"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,14731,0,8.824,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",80268,0,9.412,0,0,12435,0,9.412
2,8898,0,9.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",97345,0,10,0,0,13145,0,10
3,58722,0,30,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",525482,0,32.353,0,0,81588,0,32.353
4,51251,0,29.412,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",451069,0,31.176,0,0,81052,0,31.176
5,6129,0,8.824,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",57639,0,8.824,0,0,10963,0,8.824
6,67164,0,34.706,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",471682,0,35.294,0,0,93871,0,35.294
7,63053,0,35.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",493738,0,36.471,0,0,97901,0,36.471
8,94988,0,44.118,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",633104,0,45.294,0,0,121602,0,45.294
9,61261,0,35.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",439729,0,35.294,0,0,97474,0,35.294
10,55905,0,35.294,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",461917,0,35.882,0,0,95527,0,35.882
11,67445,0,41.765,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",476098,0,42.353,0,0,92517,0,41.765
12,57086,0,35.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",424752,0,36.471,0,0,92622,0,36.471
13,66734,0,36.471,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",455058,0,37.647,0,0,99143,0,37.647
14,75020,0,40.588,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",500827,0,44.118,0,0,108393,0,44.118
15,90606,0,45.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",624697,0,47.059,0,1,128283,0,47.059
16,75583,0,38.824,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",482487,0,41.176,0,0,105927,0,41.176
17,67730,0,36.471,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",453672,0,37.059,0,0,100235,0,37.059
18,59564,0,32.353,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",401367,0,34.706,0,0,94582,0,33.529
19,64513,0,33.529,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",415473,0,37.059,0,0,96819,0,37.059
20,59688,0,35.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",423608,0,37.647,0,0,97826,0,37.647
21,64314,0,37.647,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",425791,0,40.588,0,0,92604,0,40.588
22,61070,0,34.706,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",434927,0,35.294,0,0,95848,0,35.294
23,65478,0,36.471,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",464669,0,36.471,0,0,93047,0,36.471
24,67228,0,35.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",448442,0,36.471,0,0,94442,0,36.471
25,66802,0,37.647,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",475370,0,38.824,0,0,112770,0,38.824
26,56159,0,32.941,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",406574,0,34.118,0,0,82647,0,34.118
27,71500,0,35.882,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",525255,0,36.471,0,0,97644,0,36.471
28,3815,0,6.471,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",30899,0,6.471,0,0,5481,0,6.471
29,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
30,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
31,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
32,782,0,1.176,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",2100,0,1.176,0,0,200,0,1.176
33,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
34,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
35,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
36,861,0,1.176,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",1835,0,1.176,0,0,303,0,1.176
37,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
38,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
39,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
40,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
41,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
42,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
43,733,0,1.176,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",2651,0,1.176,0,0,160,0,1.176
44,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
45,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
46,4663,0,7.647,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",19255,0,7.647,0,0,3390,0,7.647
47,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
48,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
49,173,0,1.176,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",1735,0,1.176,0,0,214,0,1.176
50,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
51,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
52,759,0,1.176,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",1736,0,1.176,0,0,629,0,1.176
53,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
54,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
55,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
56,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
57,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
58,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
59,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
60,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
61,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
62,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
63,457,0,1.176,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",7698,0,1.176,0,0,119,0,1.176
64,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",0,0,0,0,0,0,0,0
65,68384,0,28.824,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",518277,0,29.412,0,0,82566,0,28.824
66,67785,0,34.118,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",580802,0,35.294,0,0,97880,0,34.706
67,107758,0,48.824,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",754423,876,50,0,0,132723,7,50
68,79341,45,51.176,"FAM","HEX","Cy5","UW",1,"3","2017_01_04",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",681781,1241,54.118,0,0,134937,51,54.118
