"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,10650,0,14.706,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",94329,0,15.882,0,0,50694,0,15.882
2,31448,0,21.176,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",279371,0,21.176,0,0,74554,0,21.176
3,47109,0,30.588,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",491743,0,31.176,0,0,69496,0,30.588
4,55562,0,35.294,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",509886,0,37.059,0,0,69901,0,37.059
5,60176,0,41.765,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",588899,0,42.941,0,0,74971,0,42.941
6,70342,0,41.765,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",650565,0,44.118,0,0,79063,0,44.118
7,57501,0,38.235,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",523543,0,38.235,0,0,75031,0,37.059
8,32112,0,21.765,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",268339,0,21.765,0,0,39573,0,21.765
9,51387,0,37.059,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",530646,0,38.235,0,0,66963,0,38.235
10,57240,0,38.235,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",581577,0,39.412,0,0,74007,0,39.412
11,56809,0,37.647,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",528702,0,38.824,0,0,74082,0,38.824
12,59062,0,39.412,"FAM","HEX","Cy5","UW",1,"2","2017_01_03",25,0.02,0.05,"OCI Cells","0.5x EvaGreen",522611,0,40,0,0,76872,0,40
