"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
522,86116,0,46.471,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",638149,0,46.471,0,1,120151,0,46.471
523,200180,605,54.118,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1710679,1943,54.118,0,0,138171,34,54.118
524,146702,941,74.118,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1429482,11020,74.706,0,1,292010,1586,74.706
525,101010,384,53.529,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",2546883,2483,53.529,0,0,820641,261,53.529
526,149873,714,67.059,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",2862594,7092,67.647,0,0,968151,1182,67.647
527,101044,0,49.412,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",732926,0,49.412,0,1,139842,0,49.412
528,92567,0,48.235,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",701589,0,48.235,0,0,140137,0,48.235
529,136886,854,78.235,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",4336717,16313,80,0,0,1471081,7545,80
530,98913,428,53.529,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",2256883,2160,54.118,0,0,344605,156,54.118
531,127819,751,73.529,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1209065,9381,73.529,0,0,152198,944,73.529
532,97944,248,53.529,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1430095,1855,53.529,0,1,139528,79,53.529
533,72010,0,46.471,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",628211,0,47.647,0,1,81670,0,47.647
534,125332,554,72.941,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1833218,9477,73.529,0,1,143744,521,73.529
535,80282,132,50.588,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",724194,1550,50.588,0,1,89191,63,50.588
536,139380,1014,67.059,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1265908,9332,67.647,0,0,133506,306,66.471
537,110940,644,66.471,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1066033,5803,66.471,0,0,127757,423,66.471
538,116695,678,64.118,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1018084,4740,64.118,0,0,122761,310,64.118
539,130780,852,67.647,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1206425,8192,68.235,0,1,133088,353,67.647
540,112093,628,64.706,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1044353,5304,66.471,0,0,122937,378,66.471
541,132044,833,67.647,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1306994,7000,67.647,0,1,145097,499,67.647
542,127362,808,75.882,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1167616,6671,76.471,0,1,144757,1022,76.471
543,142215,908,69.412,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1343400,7976,69.412,0,0,152667,483,68.824
544,110747,609,73.529,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1187588,8492,74.706,0,0,149517,995,74.706
545,152094,934,72.353,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1339136,5857,73.529,0,1,163008,886,73.529
546,104919,601,66.471,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1105761,6989,67.059,0,0,137121,374,66.471
547,176786,936,75.294,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1708420,12640,76.471,0,0,198044,1128,76.471
548,80555,407,61.176,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1042182,4808,62.353,0,1,133453,590,62.353
549,99123,635,74.706,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1252221,9062,74.706,0,1,169421,1258,74.706
550,108268,631,72.941,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1109666,6637,73.529,0,0,140002,868,73.529
551,119660,685,68.824,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1108256,5806,68.824,0,0,136029,742,68.824
552,119332,778,71.765,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1029769,6365,72.353,0,1,119606,523,71.765
553,106061,610,68.235,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1009093,5131,68.824,0,0,123961,505,68.824
554,126584,816,68.235,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1167258,7411,69.412,0,0,135612,579,69.412
555,131261,843,70.588,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1255013,7196,72.941,0,2,155563,1058,71.765
556,123951,806,69.412,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1168556,7115,70.588,0,0,150965,719,70.588
557,107279,405,58.235,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",967751,3640,58.824,0,0,135664,358,58.824
558,142235,978,78.235,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",1293210,8484,78.235,0,0,203469,1377,78.235
559,72437,0,46.471,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",673701,0,47.059,0,0,112524,0,47.059
560,106065,618,66.471,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",977965,5632,67.059,0,0,142045,695,67.059
561,82431,239,53.529,"FAM","HEX","Cy5","UW",3,"2","2017_01_13",25,0.02,0,"OCI Cells","0.5x EvaGreen",765804,2649,54.118,0,0,99420,107,54.118
