"Well","Cy5IntDen","Cy5Median","Cy5XArea","AmpFluor","WTFluor","MUTFluor","ThermalCycler","Array","Master","RunDate","Resolution","Triton","Tween","RefMat","CellStain","FAMIntDen","FAMMedian","FAMXArea","Linked","CellCount","HEXIntDen","HEXMedian","HEXXArea"
1,25508,0,6.108,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",89602,0,6.108,0,"N/A",24042,0,6.108
2,1307,0,1.242,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",12492,0,1.242,0,"N/A",2662,0,1.242
3,0,0,0,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",0,0,0,0,"N/A",0,0,0
4,61921,0,10.559,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",604043,0,10.663,0,"N/A",68933,0,10.663
5,226267,0,22.567,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",2293313,0,23.085,0,"N/A",326627,0,22.981
6,348552,0,35.093,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",3466069,0,35.093,0,"N/A",534286,0,35.093
7,754861,0,39.441,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",5730432,0,40.062,0,"N/A",521795,0,40.062
8,432149,0,38.716,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",4024735,0,38.716,0,"N/A",633500,0,38.716
9,265634,0,32.091,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",2712370,0,32.091,0,"N/A",519042,0,31.988
10,294098,0,28.675,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",2252913,0,28.675,0,"N/A",405527,0,28.571
11,51377,0,9.42,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",394715,0,9.731,0,"N/A",53559,0,9.731
12,283287,0,28.571,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",2313620,0,28.675,0,"N/A",420243,0,28.364
13,219889,0,24.638,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",1674387,0,25.052,0,"N/A",396763,0,25.052
14,293968,0,30.228,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",2588801,0,30.228,0,"N/A",480100,0,30.124
15,47794,0,9.317,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",308178,0,9.42,0,"N/A",62348,0,9.42
16,291764,0,30.745,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",2346021,0,30.849,0,"N/A",449604,0,30.124
17,317993,0,34.472,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",3449498,0,34.472,0,"N/A",472364,0,34.058
18,693971,513,75.569,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",7046205,3586,76.605,0,"N/A",1021597,463,75.776
19,761273,413,62.836,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",9151622,2484,64.286,0,"N/A",1064889,347,62.94
20,634081,231,53.106,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",6844091,1139,53.416,0,"N/A",954504,47,53.209
21,16199,0,4.969,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",150936,0,5.28,0,"N/A",25166,0,5.28
22,305496,0,29.089,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",2254613,0,30.021,0,"N/A",551155,0,29.503
23,214673,0,18.012,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",1329788,0,18.012,0,"N/A",267823,0,17.805
24,60142,0,9.317,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",546299,0,9.317,0,"N/A",86703,0,9.11
25,769740,611,75.466,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",8433170,4187,75.776,0,"N/A",1039986,540,75.569
26,479199,224,54.244,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",5453824,1398,55.59,0,"N/A",938532,93,55.59
27,727182,242,55.901,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",7660250,1388,56.315,0,"N/A",1029737,133,55.487
28,146744,0,16.46,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",1375506,0,16.46,0,"N/A",227251,0,16.46
29,6868,0,3.934,"FAM","HEX","Cy5","UW",1,"3","2016_12_02",10,0,0,"MUT Plasmid","N/A",70364,0,3.934,0,"N/A",10823,0,3.934
